,Unnamed: 0,count,hate_speech_count,offensive_language_count,neither_count,class,tweet
0,0,3,0,0,3,2,(this text should be deleted) !!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
1,1,3,0,3,0,1,(this text should be deleted) !!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
2,2,3,0,3,0,1,(this text should be deleted) !!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit
3,3,3,0,2,1,1,(this text should be deleted) !!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny
4,4,6,0,6,0,1,(this text should be deleted) !!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;
5,5,3,1,2,0,1,"(this text should be deleted) !!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
6,6,3,0,3,0,1,"(this text should be deleted) !!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
7,7,3,0,3,0,1,(this text should be deleted) !!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;
8,8,3,0,3,0,1,"(this text should be deleted) "" &amp; you might not get ya bitch back &amp; thats that """
9,9,3,1,2,0,1,"(this text should be deleted) "" @rhythmixx_ :hobbies include: fighting Mariam""

bitch"
10,10,3,0,3,0,1,"(this text should be deleted) "" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
11,11,3,0,3,0,1,"(this text should be deleted) "" Murda Gang bitch its Gang Land """
12,12,3,0,2,1,1,"(this text should be deleted) "" So hoes that smoke are losers ? "" yea ... go on IG"
13,13,3,0,3,0,1,"(this text should be deleted) "" bad bitches is the only thing that i like """
14,14,3,1,2,0,1,"(this text should be deleted) "" bitch get up off me """
